"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1641210161","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1641210163","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1641210165","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1641210167","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1641210169","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1641210171","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,13,12,14,68
"1641210173","6","","Aggregated",0.00,0.00,13,13,17,17,17,17,17,17,17,17,17,17,6,0,12,12,7,16,68
"1641210175","10","","Aggregated",2.00,0.00,12,12,13,13,17,17,17,17,17,17,17,17,10,0,12,11,6,16,68
"1641210177","14","","Aggregated",2.00,0.00,12,12,13,13,13,17,17,17,17,17,17,17,14,0,12,11,6,16,68
"1641210179","18","","Aggregated",2.00,0.00,12,12,12,12,13,17,17,17,17,17,17,17,18,0,12,11,5,16,68
"1641210181","22","","Aggregated",2.00,0.00,12,12,12,12,13,17,17,17,17,17,17,17,22,0,12,10,5,16,68
"1641210183","26","","Aggregated",2.00,0.00,12,12,12,12,13,13,13,13,13,13,13,13,26,0,12,10,4,16,68
"1641210185","30","","Aggregated",2.00,0.00,12,12,12,12,13,13,13,13,13,13,13,13,30,0,12,10,4,16,68
"1641210187","34","","Aggregated",2.00,0.00,12,12,12,12,13,15,15,15,15,15,15,15,34,0,12,11,4,16,68
"1641210189","38","","Aggregated",2.00,0.00,12,12,12,13,13,15,15,15,15,15,15,15,38,0,12,11,4,16,68
"1641210191","42","","Aggregated",2.00,0.00,12,12,12,13,13,15,15,15,15,15,15,15,42,0,12,11,4,16,68
"1641210193","46","","Aggregated",2.00,0.00,12,12,12,13,13,15,15,15,15,15,15,15,46,0,12,11,4,16,68
"1641210195","50","","Aggregated",2.00,0.00,12,12,12,13,13,13,15,15,15,15,15,15,51,0,12,11,4,16,68
"1641210197","50","","Aggregated",2.00,0.00,12,12,12,13,13,13,13,13,13,13,13,13,51,0,12,11,4,16,68
"1641210199","50","","Aggregated",2.00,0.00,12,12,12,12,13,13,13,13,13,13,13,13,51,0,12,11,4,16,68
"1641210201","50","","Aggregated",2.00,0.00,12,12,12,13,13,13,13,13,13,13,13,13,51,0,12,11,4,16,68
