"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1638992966","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1638992968","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1638992970","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1638992972","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1638992974","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1638992976","3","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,290,292,290,294,20546
"1638992978","7","","Aggregated",1.00,0.00,330,340,340,350,350,350,350,350,350,350,350,350,6,0,300,318,290,353,20546
"1638992980","11","","Aggregated",1.67,0.00,330,330,340,350,360,360,360,360,360,360,360,360,10,0,300,319,290,361,20546
"1638992982","15","","Aggregated",1.80,0.00,330,340,350,360,360,370,370,370,370,370,370,370,14,0,330,324,290,369,20546
"1638992984","19","","Aggregated",1.86,0.00,330,340,350,350,360,370,370,370,370,370,370,370,18,0,330,323,290,369,21954
"1638992986","23","","Aggregated",1.89,0.00,330,340,350,350,360,370,370,370,370,370,370,370,22,0,310,321,288,369,21698
"1638992988","27","","Aggregated",2.00,0.00,300,330,350,350,360,370,370,370,370,370,370,370,26,0,300,316,275,369,20546
"1638992990","31","","Aggregated",2.00,0.00,310,340,350,350,360,370,370,370,370,370,370,370,30,0,300,317,275,369,20546
"1638992992","35","","Aggregated",2.00,0.00,300,310,330,340,350,350,350,350,350,350,350,350,35,0,300,311,162,369,20908
"1638992994","39","","Aggregated",2.10,0.00,300,310,330,330,350,350,370,370,370,370,370,370,40,0,300,310,159,373,22446
"1638992996","43","","Aggregated",2.20,0.00,300,310,330,330,350,350,370,370,370,370,370,370,44,0,300,308,159,373,22274
"1638992998","47","","Aggregated",2.20,0.00,310,330,340,340,360,370,460,460,460,460,460,460,48,0,300,313,159,459,22658
"1638993000","50","","Aggregated",2.10,0.00,310,310,340,340,360,370,460,460,460,460,460,460,52,0,300,313,159,459,22983
"1638993002","50","","Aggregated",2.10,0.00,310,330,340,340,370,460,460,460,460,460,460,460,52,0,300,313,159,459,22983
"1638993004","50","","Aggregated",2.10,0.00,310,340,340,340,360,460,460,460,460,460,460,460,52,0,300,313,159,459,22983
"1638993006","50","","Aggregated",2.10,0.00,310,340,360,360,460,460,460,460,460,460,460,460,52,0,300,313,159,459,22983
"1638993008","50","","Aggregated",2.10,0.00,310,310,340,340,340,340,340,340,340,340,340,340,52,0,300,313,159,459,22983
"1638993010","50","","Aggregated",2.10,0.00,310,310,310,310,310,310,310,310,310,310,310,310,52,0,300,313,159,459,22983
"1638993012","50","","Aggregated",2.10,0.00,310,310,310,310,310,310,310,310,310,310,310,310,52,0,300,313,159,459,22983
"1638993014","50","","Aggregated",2.10,0.00,310,310,310,310,310,310,310,310,310,310,310,310,52,0,300,313,159,459,22983
"1638993016","50","","Aggregated",2.10,0.00,310,310,310,310,310,310,310,310,310,310,310,310,52,0,300,313,159,459,22983
"1638993018","50","","Aggregated",2.10,0.00,0,0,0,0,0,0,0,0,0,0,0,0,52,0,300,313,159,459,22983
"1638993020","50","","Aggregated",0.00,0.00,300,300,300,300,300,300,300,300,300,300,300,300,53,0,300,313,159,459,23176
"1638993022","50","","Aggregated",0.00,0.00,300,300,300,300,300,300,300,300,300,300,300,300,53,0,300,313,159,459,23176
"1638993024","50","","Aggregated",0.00,0.00,300,300,300,300,300,300,300,300,300,300,300,300,53,0,300,313,159,459,23176
